avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv,batch_name
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/bd0e4ff924465c3d76ab31b51ee6d0d2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=b3f7c9f8&x-expires=1784725200&x-signature=rmWr%2Feq9uu4ZegNrBJInQxztI7g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},64661,0,"['601739', '700437', '601450']",ZIcQswAAAACOV4AEeERJl-yievH_HBss25qzeC2oaW_dYI2pHohiiQ,459315,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Ian Mark Kulan Kamangkang,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4433}}",ianmark2020,"{'amount': '14687.224135', 'currency': 'USD'}","{'amount': '50.029961', 'currency': 'USD'}","{'amount': '14634.770996', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/cf172c9a33840c0a0457549388698042~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=7b01f030&x-expires=1784725200&x-signature=CzB0Gfcn2rldF0o%2FYg5Cyk%2BjL0w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,157,"['600942', '604453', '604579']",puPQBQAAAACOV4AEeERJl-yievH_HBss7lt7zXtwoMCc7xcVH1nd4Q,4700,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mega Sulit Deals 🛒🛍,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3842}}",sulitdealsph1.0,"{'amount': '13321.723135', 'currency': 'USD'}","{'amount': '13321.723135', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/496996079f14c75df2d31980e4776975~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=34bd1d41&x-expires=1784725200&x-signature=tBmcnn%2BfVG5VDC1C0BNDokJ3Qh8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},63,123,"['601739', '601152', '700645']",TIcfhwAAAACOV4AEeERJl-yievH_HBssiM1l5tssf6-DMBcFmNMTkA,13537,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Pingcay,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 2165}}",pingcay8,"{'amount': '11178.867542', 'currency': 'USD'}","{'amount': '11178.867542', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b3b89467a3f1ef58ea7923980a39b209~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d5852abc&x-expires=1784725200&x-signature=4tpAFMAaQJ%2BUbhr58rJYlhMBJDo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,2712,"['600942', '602284', '604453']",FGj2zQAAAACOV4AEeERJl-yievH_HBssprMM_Cj2Ow3DrgzHd-TUUQ,283854,{'formatted_range': '₱10K+'},Mommy Tine ᥫ᭡。,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5482}}",nigelcaden,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/fb745d6d75b34811f6aa41bf6b942dff~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ad95060c&x-expires=1784725200&x-signature=7GrTrvhkyrebadMs8cS7vA44SMg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,250,"['604453', '603014', '601755']",yXa1KQAAAACOV4AEeERJl-yievH_HBssblo4iJh9o5RadMlTG1mz-w,1270,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",lucky_u,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3766}}",lyckie_u,"{'amount': '17408.477423', 'currency': 'USD'}","{'amount': '17357.029717', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/4dcee4f143fe99f45f6d54bfe346435c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=07723502&x-expires=1784725200&x-signature=SJBJshW%2BAmHOq58HsFel5uo2RzE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},301,94,"['601739', '601450', '700645']",wE_pBQAAAACOV4AEeERJl-yievH_HBss1CQR80t1E23Pzo2HNobeUg,5516,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",@Genella,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4665}}",ds_elle1329,"{'amount': '23670.599881', 'currency': 'USD'}","{'amount': '23474.002161', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3a2ee6d14d9b3efaa36a90fccb2942c5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=b3deece3&x-expires=1784725200&x-signature=BJ%2FIYwkKb6Efo%2FPOEf1xyn0Ayzs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1,150,"['601739', '601152']",rBqKFQAAAACOV4AEeERJl-yievH_HBss1vjAO7pgfaxL9TgYANmpaA,13154,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",han,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5335}}",neyaaala,"{'amount': '86746.363793', 'currency': 'USD'}","{'amount': '86743.906504', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/39c8bf46c810c0c55f83840ef9c47ceb~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=2bbdcc8a&x-expires=1784725200&x-signature=p59lFVxH5u2z64o6iyYWZ4fUiYo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,64,"['700437', '604579']",45r0PgAAAACOV4AEeERJl-yievH_HBss2RlCen8zTKharg0CDtaSmA,1290,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",tktokdfinds,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4285}}",cessshopp1gmail.com,"{'amount': '12006.517763', 'currency': 'USD'}","{'amount': '12006.517763', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1f970e96e59b8fcd6801d30415485804~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=151b3424&x-expires=1784725200&x-signature=%2FwgUl7RR25FE%2BieMsfmVcHhCxsY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},475,69,"['601755', '601450', '700437']",aJ-sBQAAAACOV4AEeERJl-yievH_HBssinZ7l-N72iLT0NdpY2RFog,3403,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",rubycassy,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4319}}",rubylyncasiano,"{'amount': '14807.311068', 'currency': 'USD'}","{'amount': '14690.659548', 'currency': 'USD'}","{'amount': '116.65152', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c3f8e445d979714f018015a52182fa00~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=31ef6d50&x-expires=1784725200&x-signature=nWT4AyG8trEUUUjQzaXLM5jnqaU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},13,179,"['604206', '602284', '600942']",ZJ8REQAAAACOV4AEeERJl-yievH_HBssMp44BNRRIT90agCXkOf41Q,33861,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",𝘔𝘫𝘺finds,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3115}}",mjyshop,"{'amount': '16963.159203', 'currency': 'USD'}","{'amount': '16922.393616', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/9ded7ddb548c991c3f1a47e73dc9fb34~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f183f834&x-expires=1784725200&x-signature=qU3CYjsTcFyvNMyAkOZQlT1iYEo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,190,"['604579', '605196']",Ts_iigAAAACOV4AEeERJl-yievH_HBss-IhGnI-Ze22VyGp_dbQcVA,6563,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Renan Carlo,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 1667}}",rcdalut,"{'amount': '91308.307657', 'currency': 'USD'}","{'amount': '91308.307657', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/ab0e46d5bf8a16eed92d2aad7050eb76~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f474cf2c&x-expires=1784725200&x-signature=TEd%2FS2tEwjAXIah2IXumN0cFFtw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},780,197,"['601450', '602284', '700645']",_AKejwAAAACOV4AEeERJl-yievH_HBss8bmfBDY8NhOS9fLjVE40Zw,11693,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mommy Allen and Bryce,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4553}}",mommyallenandbryce,"{'amount': '10272.133311', 'currency': 'USD'}","{'amount': '9663.650224', 'currency': 'USD'}","{'amount': '608.483087', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/64488f5d401d49a6d05311e898443714~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=640d55c6&x-expires=1784725200&x-signature=UP7Tk1ntkKd5EMDVJ2URFNSpa0s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1228,429,"['605196', '600942', '700645']",4czWFgAAAACOV4AEeERJl-yievH_HBssAB7MuMv9cTjaxT5Lxqxz0g,10806,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",CARLEM,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 4042}}",owel.ayo,"{'amount': '11972.422067', 'currency': 'USD'}","{'amount': '5572.280043', 'currency': 'USD'}","{'amount': '6400.142024', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a08e9106ed43536cd32e627f7d9f8eb0~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e10d3d39&x-expires=1784725200&x-signature=1SKPtXNagsaDZ9dY1sh%2BMWwI8KE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},6006,455,"['603014', '605196', '601739']",bintGQAAAACOV4AEeERJl-yievH_HBssdmEjMKpxvgh9RcdiU-RAsg,12066,{'formatted_range': '₱10K+'},Mamee Tatee,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3926}}",mameetateesatsuki,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2b4f3cac7e192a0f93af141bb5e10cb4~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=3ef334ab&x-expires=1784725200&x-signature=iWnWAr5rx6BrfcFMdabrDw%2BibFA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2493,108,"['605248', '953224', '601152']",pryO1QAAAACOV4AEeERJl-yievH_HBssQ2ujlgu3WPAuoHwaRSzYwQ,53863,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Amiga Doñia Gracias,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_25_34', 'AGE_RANGE_45_54'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5840}}",amigadoniagracias,"{'amount': '15875.124009', 'currency': 'USD'}","{'amount': '81.112203', 'currency': 'USD'}","{'amount': '15723.671119', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/7b5ee178f17cc534dd1ef5044a63f635~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=9a482122&x-expires=1784725200&x-signature=Up4YYhrSTgTai%2FRWt9x%2BytfzSGc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,643,"['605196', '603014', '602118']",bEFsVwAAAACOV4AEeERJl-yievH_HBssyE0M3KZQQpmwfyky00QAnw,2438,{'formatted_range': '₱10K+'},IRENE D. SHOP,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 2554}}",joel.abayon,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f76dbf25c0fc0feed0e94632ac7f70e5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=eaf1f7ca&x-expires=1784725200&x-signature=wZ2MgefhaiZq%2FMCcZDINE6BB0gs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,275,"['601352', '602284']",Qr9U3wAAAACOV4AEeERJl-yievH_HBssJcEFrYm-KgT8ywPnxKVWvA,6053,{'formatted_range': '₱10K+'},LVDY^~^,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4154}}",ludy_findsss,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3f2f549d4980042b5673a81af603648a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=723c5d4c&x-expires=1784725200&x-signature=f%2BQtX%2B9RDGU%2B%2F%2FawwVuIJXlgC8M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,423,"['603014', '700437', '601450']",ja6lBgAAAACOV4AEeERJl-yievH_HBss1AYu5mwTxx9Tt-ECQYhtYw,22236,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mrs. Grapa🧚🏻‍♀️✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 5625}}",missyvaugn,"{'amount': '28948.90252', 'currency': 'USD'}","{'amount': '28874.217672', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/435ffede139fb5da4c7a7a6e145e3eff~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e8537ff3&x-expires=1784725200&x-signature=Igsov9L0ktJbgMvfRTKvcjcmN7I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},401,361,"['601739', '601755', '600024']",kAUA5AAAAACOV4AEeERJl-yievH_HBssm2I6Dj6vWGnKCFFm2T0b4g,17438,{'formatted_range': '₱10K+'},Ms Annebisyosa☘️,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5036}}",msannebisyosa,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
