avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5876ff15053771a17fdd40ca41b1ce37~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e1cafb92&x-expires=1784718000&x-signature=vQtjfOfmoi8F27%2Fg4Nxg%2BJH%2BGS0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,11553,"['700645', '601450', '601152']",-2CmIgAAAACOV4AEeERJl-yievH_HBssaMUfXvGT3UM9eEgTnwLh1Q,1230209,{'formatted_range': '₱10K+'},itsresyelmae,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 5667}}",itsresyelmae,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/7dd71e990e4b3760703faab2243d3f4c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=635b0bc4&x-expires=1784718000&x-signature=qWn%2FQ51RYUq13BPSeNYhMb3Iz04%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,265,"['700645', '601450', '700437']",BmPfxwAAAACOV4AEeERJl-yievH_HBssuJEaYataXmW28LTlG3QTsA,16331,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",urpharmacistassistant,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5652}}",llessur04,"{'amount': '11596.482765', 'currency': 'USD'}","{'amount': '11497.281926', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/bb9dbf3ea977f9c7d8d29c74f300fd33~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e018466b&x-expires=1784718000&x-signature=qp8sSS2BxHql%2By0Oib6pldmrig4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},50759,0,"['700645', '605196', '605248']",TO7yzAAAAACOV4AEeERJl-yievH_HBssjUEd1UPtrOt8jB6izgqBYw,133131,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",ms.roxxy🧿,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_25_34', 'AGE_RANGE_45_54'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5468}}",ms.roxxy,"{'amount': '43302.76899', 'currency': 'USD'}","{'amount': '169.792101', 'currency': 'USD'}","{'amount': '43116.368335', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ca4db302d31619a69e88b345e6f0bc16~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f052776d&x-expires=1784718000&x-signature=1T80UraK8NvvEfWz9KabZnHWf80%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,586,"['700645', '601450', '600024']",cwUUWgAAAACOV4AEeERJl-yievH_HBssdCfcMoj0QvvencmCdif1VA,22102,{'formatted_range': '₱10K+'},arnielgoodvibes,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 6438}}",arnielgoodvibes,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c802178dfb8cf147684a2fc67aa11d5d~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a6afbe11&x-expires=1784718000&x-signature=4jBIFgIg%2BAKHGi0pQLl9nLyU2Zo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},14769,0,"['700645', '601152', '601450']",TKeBPgAAAACOV4AEeERJl-yievH_HBssy5WMn0r4C8UlvzB1tFG5nA,110654,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Waj&Neo,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4981}}",wajantonio.neopadilla,"{'amount': '20897.778911', 'currency': 'USD'}","{'amount': '126.364596', 'currency': 'USD'}","{'amount': '20733.582918', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2f076ae2b1860e0d37a031fc3fa1a8dc~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=1abafce3&x-expires=1784718000&x-signature=5EZDR2LGKns7vCzNTpVB5ZWS3JE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1126,228,"['700645', '601450', '600942']",OmweNgAAAACOV4AEeERJl-yievH_HBssQFcbl6msOWs1grimEMYpjg,28932,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mommy Fhaye,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6073}}",fhaye_261,"{'amount': '12989.391897', 'currency': 'USD'}","{'amount': '2088.614968', 'currency': 'USD'}","{'amount': '10846.268604', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/99da32d4580481839946bdce2b462a53~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=16f8e95c&x-expires=1784718000&x-signature=goCbL6J5%2B1X5ss%2BV%2Fk4QXyCsL0M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1453,123,"['700645', '601739', '700437']",-a8NRwAAAACOV4AEeERJl-yievH_HBssmKCYymiL47pGsESSs6DjEQ,49602,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",judz.finds,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4208}}",judzfajarda,"{'amount': '11113.066491', 'currency': 'USD'}","{'amount': '195.725187', 'currency': 'USD'}","{'amount': '10908.076972', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/b115fc4ae39854674667f456d7b0c2b8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=280fc7fb&x-expires=1784718000&x-signature=cb7STImMtSU%2FiLYovYlPWueG9AA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},856,0,"['700645', '601450', '600024']",kuy12AAAAACOV4AEeERJl-yievH_HBssuYST1F6dsgRmS_pLauHIfg,183394,{'formatted_range': '₱10K+'},RIAONLINESHOPMAIN,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5436}}",lishoucoffeemain,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c02e533c8966f824d08b046ca7c8b306~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d39c9a15&x-expires=1784718000&x-signature=89msc4OMiwnWrn2CytJAvPTC4W4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},10009,0,"['700645', '601739', '801928']",eu3KRQAAAACOV4AEeERJl-yievH_HBssomi_X4hx19bDs5zh_hvZ2w,35095,{'formatted_range': '₱10K+'},CaramelMacchiato,PH,"{'age_ranges': ['AGE_RANGE_45_54', 'AGE_RANGE_55_AND_ABOVE'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4137}}",everydaydiscountdeals,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/98e125134579221b42fcc55f0ba91289~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=93f6e848&x-expires=1784718000&x-signature=Xyg1Exg8helbCgGHRbCuuCGx0dc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},681,1286,"['700645', '601450', '600942']",9CUDRgAAAACOV4AEeERJl-yievH_HBssYhJJg05JKIQ4zKMRn1r3KQ,1231530,{'formatted_range': '₱10K+'},HOPE GLOW Main,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4405}}",lunaaura.ph,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3b09ef45ee44d71523a45aa21e52628f~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=84179e6e&x-expires=1784718000&x-signature=PO1DNJ4Y2c3zyCr1kkerHMW0Mtk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1332,148,"['700645', '700437', '600942']",PaJykgAAAACOV4AEeERJl-yievH_HBsslyhDkm3hi-Bl_zBX5XPthQ,7457,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",pat2fit,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5257}}",ptrck.nunez,"{'amount': '16809.301046', 'currency': 'USD'}","{'amount': '129.855541', 'currency': 'USD'}","{'amount': '16394.963884', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/b9123b6ee1f5122825ec6546992b1003~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d95edad3&x-expires=1784718000&x-signature=foSNmJ8CmudwR75%2F5XU71irT2JI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},267,605,"['700645', '601450', '700437']",BTVhcgAAAACOV4AEeERJl-yievH_HBssh41DE2CMupw3y3hxMoGhRw,15487,{'formatted_range': '₱10K+'},Triumph Station PH,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6301}}",vcmoises,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5c0edbf37219010e0baa4e2f941c4f86~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=9820e668&x-expires=1784718000&x-signature=JN6DVznXzDIyXqUMGX%2Bp0ujbrDI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},22420,40641,"['824584', '700645', '600942']",yDMNNQAAAACOV4AEeERJl-yievH_HBssgpmrd4q8wXl2xJpOa7iHIw,1252087,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Miss Deliciousness,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5289}}",miss_deliciousness143,"{'amount': '34101.083216', 'currency': 'USD'}","{'amount': '16835.086896', 'currency': 'USD'}","{'amount': '16406.656749', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1c476ceb45b511cb5b682e20a28bc151~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=6cdf1fa5&x-expires=1784718000&x-signature=%2FJ78SyTZCeQYrmKBaA%2FauF36Z%2Bw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '601450', '601152']",xaDDowAAAACOV4AEeERJl-yievH_HBsspMhDH8P8YhXWPBCFYHaN-g,253,{'formatted_range': '₱10K+'},pslekeoo83,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2055}}",pslekeoo83,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a0bc77dcfbdadefdb28f28b68dcff1d0~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a3053634&x-expires=1784718000&x-signature=%2BW%2BU%2FLBLjXFaYThmtbH1RW%2BhXYY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1265,242,"['700645', '700437', '601450']",7X-76QAAAACOV4AEeERJl-yievH_HBssU12cpQriH_ZeonwuHLGVUQ,71882,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Lica.Vids,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5040}}",lica.vids,"{'amount': '15939.583462', 'currency': 'USD'}","{'amount': '5037.534926', 'currency': 'USD'}","{'amount': '10879.492973', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/e15fc46ceea3142274b7889b4c24514e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=3e32ce19&x-expires=1784718000&x-signature=JWJ2w%2FogjVyx4Mk9IHo4M%2FlDF6E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},6116,0,"['700645', '601450', '700437']",LaR3RgAAAACOV4AEeERJl-yievH_HBssuPUIaUesjh-N6OL3Kea4rw,802691,{'formatted_range': '₱10K+'},Jonah Sison Ramos,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6029}}",jonahsisonramos,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/31af220a60d5ff19b4055b5f52a7b3ba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dab0f1d1&x-expires=1784718000&x-signature=zTmWU0842ZZTYQPUyDd06n4XTJI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1337,4211,"['700645', '603014', '700437']",iHUXtgAAAACOV4AEeERJl-yievH_HBss-uI-ihVWqmeUWLaMX6_YFQ,82651,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",HealthyCortex,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 6354}}",healthycortex,"{'amount': '108496.727466', 'currency': 'USD'}","{'amount': '30409.300262', 'currency': 'USD'}","{'amount': '78087.427204', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/377c0d2dbabd61851591390d3a7acfe9~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e5b9fc56&x-expires=1784718000&x-signature=o2bvS1bzq7FmFHM444hvQ5s7k30%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1880,302,"['700645', '601450', '824584']",shYlGQAAAACOV4AEeERJl-yievH_HBss8aWgt6qqj28HbOuRn3LAQQ,42430,{'formatted_range': '₱10K+'},Beautyfinds2ndaccount,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6766}}",zbeautyfinds2ndaccount,,,
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2102c5d05883c4fe5c3ef768471999ba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ea8e5903&x-expires=1784718000&x-signature=RdJsp%2F2Z%2BnV9e7r%2BQyfALRXRMDI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,491,"['700645', '602118', '601450']",exS_KAAAAACOV4AEeERJl-yievH_HBssI1uQR-kM5cSlb1w0_IKWcQ,15712,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",ms.budolshop🎀🪬,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4801}}",ms.budolshop,"{'amount': '14693.888688', 'currency': 'USD'}","{'amount': '14678.791703', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/9510a954f3ec5e4622688388fdf9f040~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=59369344&x-expires=1784718000&x-signature=SB7eS%2BkI8Z1HkOlfM2kkabuDEpg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,779,"['700645', '602284', '601450']",RgyiiAAAAACOV4AEeERJl-yievH_HBssYAH5M5W-EGUBWekq9saKQQ,53912,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Gerliebaby Gajo on IG,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 4049}}",gerlie070814,"{'amount': '24109.480992', 'currency': 'USD'}","{'amount': '23978.967328', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ed71ce5e574c6f969274cc5f0c1b5976~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e2c64a7b&x-expires=1784718000&x-signature=AFuTOuHa2C8NQGpOWRrBYAKrE7g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1524,0,"['700645', '601450', '700437']",pRECKwAAAACOV4AEeERJl-yievH_HBssa9PXaH7o1G5r8lz-C-naag,111284,{'formatted_range': '₱10K+'},Dear Face Main,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6749}}",dearfaceph,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a19f5cbe36849b6b3a192a82e9bbc5bd~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ff8306c2&x-expires=1784718000&x-signature=p7PTFUocQJ6W2HkXpyNJ5BqYeTc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},47533,0,"['824584', '700645', '601352']",0dSW6QAAAACOV4AEeERJl-yievH_HBsswiU9Y0TpoI6ATioVS4b2Mw,676618,{'formatted_range': '₱10K+'},Dani Barretto,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7024}}",danibarrettop,,,
