avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv,gmv_range,live_gmv,nickname,selection_region,top_follower_demographics,username,video_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2d225068d0d172b1ee71326dfde0e3b8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ba098086&x-expires=1784548800&x-signature=R52o0BU%2Bn88%2BoRtdpVEuMAWygX4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},4282,1055,"['700645', '602284', '601450']",93dG_QAAAACOV4AEeERJl-yievH_HBss-EslFyJkbk05o1-i-lmnsw,86107,,{'formatted_range': '₱10K+'},,pharMOMcist 💊👩🏻‍🔬,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5660}}",yanna.santillan_rph,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/37511845501af356fdb6f07df88f39b3~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=049abb26&x-expires=1784548800&x-signature=KFSDZOvqoqLET5furIXd3mzTb4k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},724,1277,"['700645', '700437', '600024']",BjqZMQAAAACOV4AEeERJl-yievH_HBssZU1y0BjGER6NgfXTt3fXDA,46603,"{'amount': '38212.6688', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '100.624318', 'currency': 'USD'}",KangleOfficial,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_45_54', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3811}}",kangleofficial,"{'amount': '38040.539307', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/a0f763e518753fccd264dbafc9140403~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=48e0d4bc&x-expires=1784548800&x-signature=vK1vIU0cLoX6zcmMM5b5CeCgK3w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},9195,68,"['700645', '600001', '601450']",Y3Ur2QAAAACOV4AEeERJl-yievH_HBsshW8P7DgVxoqQFOlzvjyPnw,76442,,{'formatted_range': '₱10K+'},,BEWELL-C PRODUCTS,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6600}}",bewellcproducts,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a577fc5dc13656ccdcefa43009c33e4d~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=692dc431&x-expires=1784548800&x-signature=H9EpjZJYb5kTWgmPK9LWiunMOnk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},794,515,"['700645', '601450', '700437']",FAsdBAAAAACOV4AEeERJl-yievH_HBssbHTf3vNwVqjjq1J2f7BiFA,10455,"{'amount': '9858.911248', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'maximum_amount': '10000', 'minimum_amount': '1000'}","{'amount': '9449.037458', 'currency': 'USD'}",@ C A R E N 17❤,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4221}}",user.itscarenpakyut17,"{'amount': '361.699149', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/0763fc4d68656c59c9fcacd787956862~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=0faf310f&x-expires=1784548800&x-signature=QtdPPRedKmT1FMpAxE4qDHat7Vg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,1475,"['700645', '700437', '600001']",z42TnAAAAACOV4AEeERJl-yievH_HBssOo7si3cS405q6Eb8dtqkgg,16159,"{'amount': '22047.904348', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",,Midwife Clara 🩺,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4448}}",.claryang,"{'amount': '21981.7329', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/458a12e4d28ad4e59ca790b925a29b1c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=30aad99f&x-expires=1784548800&x-signature=PlZ3QpFB%2B3jMY1wk93ZquXsUmAc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},548,2034,"['700645', '600024', '600942']",AfxV9AAAAACOV4AEeERJl-yievH_HBssAt7O48XbhjJ6Ycul2aDlmQ,50460,,{'formatted_range': '₱10K+'},,littlesaintsph,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4835}}",littlesaintsph,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/11101c5ab30136cf4cb1d2497299866c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=41cf24bc&x-expires=1784548800&x-signature=yU%2FT6M2AdAwMhiXlYkwRMPoLA9M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},7915,0,"['700645', '601739', '601450']",3XtjvwAAAACOV4AEeERJl-yievH_HBssxkSB5OfVqgrE_DQI4jRltw,42547,"{'amount': '13073.290016', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '12399.407584', 'currency': 'USD'}",TWINKLE ✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6431}}",lcrkel,"{'amount': '653.642678', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/a5146806bc5c6dfa32b8a4bb42535781~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a19dbbc1&x-expires=1784548800&x-signature=Z7c33UoHep9j1QMEB08t9k2EZvU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '601450', '700437']",XlLT_AAAAACOV4AEeERJl-yievH_HBssTF7EjawjDRnuhKV1yFDX6Q,7352488,,{'formatted_range': '₱10K+'},,Dr. Krizzle Luna 🌙,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 4641}}",lunakrizzle,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/975b0ca322be8093dc541702b7d3274c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a8d20087&x-expires=1784548800&x-signature=PW3ENp50Mvq%2BLUMKLDHuGd7snQU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3081,0,"['700645', '700437', '600024']",OavEtgAAAACOV4AEeERJl-yievH_HBss5yTB4fpMWpsNxyEzp_VkEw,212345,,{'formatted_range': '₱10K+'},,Chef Ayb's Paragis PH,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44', 'AGE_RANGE_45_54'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5298}}",chefaybsparagisph,
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f00b2361b6bdb9b2d8ff9a8f197a1f67~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=7c682c6b&x-expires=1784548800&x-signature=LOlNwL7Z2OaV1Hc2QjUMDYBpQKE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},833,428,"['700645', '601450', '600001']",WpPD8QAAAACOV4AEeERJl-yievH_HBssEymJ-O4ZCAqDSgzMl45bLQ,25561,"{'amount': '13200.040784', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '38.864475', 'currency': 'USD'}",bakshop14,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6717}}",bakshop14,"{'amount': '12778.104006', 'currency': 'USD'}"
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-maliva-avt-0068/c4fdf124efb31af520faa6fc191464ba~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ffef1b5f&x-expires=1784548800&x-signature=l6Vw%2BeDgNbFG5tYs%2FkzIDw01%2FsA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1844,0,"['700645', '801928', '600024']",xVbXRAAAAACOV4AEeERJl-yievH_HBssYb6VqBirwFi8mbUoVJBejA,49459,"{'amount': '11709.454741', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '10757.646818', 'currency': 'USD'}",Ms. Carlyn ✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5483}}",carlynskincare101,"{'amount': '951.807923', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1ec51fea6847aba9b13fab25afda14e2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a095a96e&x-expires=1784548800&x-signature=YKQ82SmVnzXp0%2BPj%2BAkuGS%2B%2BNI4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3110,2737,"['700645', '601739', '601755']",wri3XgAAAACOV4AEeERJl-yievH_HBssSbVy7KbfhIh0r5Sn1uF1Dg,15346,"{'amount': '35491.30874', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '395.368196', 'currency': 'USD'}",Sir Jed | Dr. Daily 💜,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5298}}",sirjeddaily,"{'amount': '34780.690821', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a044207857da539daac06f3f2b09be5c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f06757e8&x-expires=1784548800&x-signature=76njpjBvVn%2F0dQpn5qtGKrcE61c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,693,"['700645', '600001', '602284']",xVkqtQAAAACOV4AEeERJl-yievH_HBsslyEFSJHV0AuB5RYFMb-W-A,27254,"{'amount': '13250.158468', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",,Budolfinds🪬🧿,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4135}}",123456789diosa,"{'amount': '13073.786608', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c6fa53a190a7f2487028eb7fbc8279d2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e44d5404&x-expires=1784548800&x-signature=wPRsjuUAMYqftIrzT1ARnUf1EtY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2025,406,"['700645', '801928', '600001']",A6s_cQAAAACOV4AEeERJl-yievH_HBsspqr-3vadswhExS8ircn0rw,32061,"{'amount': '11360.039451', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '11322.036387', 'currency': 'USD'}",Anna SJ 🐚,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4064}}",anaaaaa_sj,"{'amount': '22.251503', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/36ab0800c59f44c6601eb925437c21b8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dfb57105&x-expires=1784548800&x-signature=I3syZdZ6xKN3CiVkiqYhRwN7c6c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1746,0,"['700645', '700437', '600024']",Pmks7AAAAACOV4AEeERJl-yievH_HBsspCGA5J60Nh0lG8eLXZwZtg,29980,"{'amount': '31667.583018', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '27859.786963', 'currency': 'USD'}",CHEF AYB'S PARAGIS PH.,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4971}}",chefaybsparagis_,"{'amount': '3807.796055', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/564fc7af0bd03aea1398307ea6fc697e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dee85d25&x-expires=1784548800&x-signature=cZVOugyQXlgkcVugNFWfTNT4PIA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,404,"['700645', '604206', '604453']",GOvRuQAAAACOV4AEeERJl-yievH_HBssXY6k8ucdVWDUStrgIuq71w,29671,,{'formatted_range': '₱10K+'},,Tricia Tan 🇨🇳,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 6336}}",shangshang6689,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/eb03c4b8c06a929e591055fb90dd643c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=936b20b2&x-expires=1784548800&x-signature=6ahwvZJQtrGjXitBza%2BN0b49UIg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,6109,"['700645', '601450', '700437']",S8mgSQAAAACOV4AEeERJl-yievH_HBssyv8o3DK0TjuI0Hdklj3yoQ,887166,,{'formatted_range': '₱10K+'},,Christian Hedriana,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6147}}",christian_hedriana,
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/187eb481393ac5f58b2c79e432518607~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=c4a0db8e&x-expires=1784548800&x-signature=vjh7hcz%2Bp7ot4VhtQ6Ip9phgrak%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2834,2984,"['700645', '603014', '824328']",GJ5TqwAAAACOV4AEeERJl-yievH_HBss3i9EzMnEzF36_O_wtM16UA,44531,,{'formatted_range': '₱10K+'},,IV,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4345}}",adlfzeller,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/35b416126f36681af7206718ef303217~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=fdb9758a&x-expires=1784548800&x-signature=0en46%2BMOMucHqjuE0LgCh%2BcvZTU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},496,503,"['700645', '601450', '600001']",4tY5yAAAAACOV4AEeERJl-yievH_HBssQacHyG-YQJOWwxH-S70FKg,8417,"{'amount': '11011.191414', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '10401.98436', 'currency': 'USD'}",mamamargeeee,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6358}}",mamamargeeee,"{'amount': '595.058404', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/392ab6c2a9cfa465ba21f5ed907da651~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a29aa942&x-expires=1784548800&x-signature=kE%2Ft0SuPZei11pRYeQE6nkyS7AI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1140,667,"['700645', '601450', '602118']",x72MygAAAACOV4AEeERJl-yievH_HBssH-HIWNE-RzwCKMPZVBSRlw,81106,"{'amount': '18739.706309', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '5473.393071', 'currency': 'USD'}",Cashmere🇮🇹🍀,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6229}}",cashmerepearlsanchez30,"{'amount': '12972.204609', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/6462df1859f513fbba8c1159c3002d88~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=4d2a4f6d&x-expires=1784548800&x-signature=lbxTRtVj%2B4aFsaF2bGmJL22%2BY9U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3265,466,"['700645', '602118', '601450']",o1i-tgAAAACOV4AEeERJl-yievH_HBssbhlEgUHMAVWVweCRuFq9dQ,7156,,{'formatted_range': '₱10K+'},,Chryzella,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5651}}",nemesisrecos,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d04b5bd6bdf6a2a59d708fac216dc1fa~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=3d021f53&x-expires=1784548800&x-signature=BaD6e24BbwEt4ZMnDS71B1YBbSE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2409,5347,"['700645', '601450', '600154']",yMV18gAAAACOV4AEeERJl-yievH_HBssrRrtu45w1vWmoe7855cpqg,17930,"{'amount': '32857.882533', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '46.495769', 'currency': 'USD'}",OgsniYumm,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4937}}",ogsniyumm,"{'amount': '32678.96533', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/4f75bf22d0da7cff3ab074d7f3eb7e7c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=3de28fbb&x-expires=1784548800&x-signature=PsCLfeTfFRn%2BECdHSaEHL1pOxLM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},6056,11621,"['700645', '601450', '601352']",NrBccwAAAACOV4AEeERJl-yievH_HBsstQ6wguUk4nCKYUjQg6sl_Q,258157,,{'formatted_range': '₱10K+'},,Prettyprincess,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4381}}",priiiinsesssa,
