avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a0bb4a74319591f8a6518a90c6a78ebb~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=666d54da&x-expires=1784088000&x-signature=SB7nLmC9LQuitqBVTHs4qmUkgOA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,15629.0,"['600001', '601739', '601352']",Ty9_YgAAAACOV4AEeERJl-yievH_HBssLu4i19vwLW98sepQFxFfpQ,2415662.0,{'formatted_range': '₱10K+'},Dump ni Jomar Yee,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5515}}",jomaryeedump_,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2de985c3e7b5697ddb0345f28637e390~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f74c61a5&x-expires=1784088000&x-signature=iZ6ILrhOoPPftptmalYWNC9UkN4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,1431.0,"['600942', '801928', '602284']",OjX16gAAAACOV4AEeERJl-yievH_HBssLMogjZiSaMeXxo2KnUlvUw,27361.0,{'formatted_range': '₱10K+'},Karen Anonas,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5471}}",karenanonas,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/87e84ce6e95009f529f8b0355bc3cffc~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ad92a0fa&x-expires=1784088000&x-signature=rcWrwz%2BLsrUiwE534VPp8zgnYX0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,1230.0,"['601450', '601739', '601755']",dbY-eAAAAACOV4AEeERJl-yievH_HBss139WeLpZGcLm-7O-xoHOWQ,795812.0,{'formatted_range': '₱10K+'},Mike Balolong,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6828}}",mikebalolong,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/30e07bf792304714a98461bc3b1fab16~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=6a5c1fea&x-expires=1784088000&x-signature=GtTjZSpQgO2IfCd%2FtUtkFVzEFV0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2093.0,4506.0,"['605196', '603014', '604453']",WQB7JgAAAACOV4AEeERJl-yievH_HBssNH0R3AlIg46elZDWVMapUA,53365.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Moto Math,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 3752}}",moto.math,"{'amount': '243375.06568', 'currency': 'USD'}","{'amount': '242618.434792', 'currency': 'USD'}","{'amount': '485.304058', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d52bf49a8ab8c4e8c4124e0108985b29~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=36dfdd04&x-expires=1784088000&x-signature=Tj%2F0ScdgdBy%2Bqssy3DTGPYZnkBA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601739', '604453', '600154']",S7jHnQAAAACOV4AEeERJl-yievH_HBsspmDYP-pIAVrUlv89kDvmzw,31731.0,{'formatted_range': '₱10K+'},Almira Carriaga,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5243}}",almiracarriaga,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5197e78a03e994587a1291fec240e500~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d955ee9b&x-expires=1784088000&x-signature=Mcb8SiAVjhR6cZi6%2F8mTNf2Wfcs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '600001']",9Ovn_wAAAACOV4AEeERJl-yievH_HBssS7BIL5paEZ6qYLP-e3NZ_w,531.0,{'formatted_range': '₱10K+'},Maria,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 1544}}",user5844826884387,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c118808d5a1a538204e92e528a21a97f~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=2d4f42c7&x-expires=1784088000&x-signature=yD4wcXOXLiuDZGZFfkLS%2BmLUus8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '600001']",3MxrrwAAAACOV4AEeERJl-yievH_HBssPMIZu50b8vQOzmFDSvHglQ,13.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",iflyad03,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4615}}",iflyad03,"{'amount': '5825500.518508', 'currency': 'USD'}",,
{'url': 'https://p16-common-sign.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=50a5736a&x-expires=1784088000&x-signature=OFHGPnahxWixVm5YsGdpnXjEqxw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '605196']",T51HRwAAAACOV4AEeERJl-yievH_HBsscpim0sGFIiscz9pYkPWviA,1.0,{'formatted_range': '₱10K+'},ShopAtHomePH,PH,"{'age_ranges': ['AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 10000}}",shopathomeph,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ac781366a3aac83d1bda494842e06b6a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=cc346e32&x-expires=1784088000&x-signature=AMLnR1ozZOcE1nQAe%2BpkPtKSxF0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601739', '605196', '601450']",Bk01NQAAAACOV4AEeERJl-yievH_HBssjYBT2NCiw6gm5afPaGEhEg,785.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Nicolas Pagquil,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4585}}",nicolas.pagquil,"{'amount': '28265.648061', 'currency': 'USD'}",,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ceea8430c4ad52180cad2aea565ac02a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=7fd4bdb2&x-expires=1784088000&x-signature=iBFdNr1p5X4aiU9%2BRLdmam9VP6U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},102597.0,0.0,"['601739', '601755']",jSATJgAAAACOV4AEeERJl-yievH_HBssugnh2geIdZYbIX71FCECKg,114461.0,{'formatted_range': '₱10K+'},Hari ng Chamba,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 1892}}",haringchamba,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/343b605880861266445129318af57fce~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=0c54bb39&x-expires=1784088000&x-signature=GCsijzLu8wkz4KJNto0FZHzgXuc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,281.0,"['601739', '604968', '605196']",4WFi3gAAAACOV4AEeERJl-yievH_HBss5966XF9PQoqdpSJby4p-KQ,20709.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Egi finds,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 6014}}",egii_tv_06,"{'amount': '22730.431964', 'currency': 'USD'}","{'amount': '22730.431964', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3d584b361335bcd88931a0444da6a352~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a154e964&x-expires=1784088000&x-signature=T0QjkqnnZBlalr1YN7bwv2XrbpA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '600001']",yJHLEAAAAACOV4AEeERJl-yievH_HBss0zwVS1hGagjS2uJ9eOf8Zw,0.0,{'formatted_range': '₱10K+'},Manh Vinh,PH,"{'age_ranges': [], 'major_gender': {'gender': 'FEMALE', 'percentage': 0}}",manh.vinh82,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f250efa7a4939f9568865bde14c7a080~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=17aa60d2&x-expires=1784088000&x-signature=Lg8bd%2FwWcLnwtrtbCHzMxxM4dGQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,1087.0,"['601739', '600942']",-uHJVwAAAACOV4AEeERJl-yievH_HBssG-ElhJbBUq3CB3P4KRQhSg,64661.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",𝙊𝙣𝙞𝙤𝙣ᥫ᭡.,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 1825}}",b.rencee,"{'amount': '473522.230622', 'currency': 'USD'}","{'amount': '473335.666657', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/df8fb02eb972d3521427b1c15dcf8a0b~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=5ac5c6e5&x-expires=1784088000&x-signature=OkozndU61s70%2BA4YgZb7%2FxIzn%2FI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,237.0,"['601739', '601450']",XoTXawAAAACOV4AEeERJl-yievH_HBssONvLAt04stNsY96fQBjXxA,38792.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Kalye Guapo,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4620}}",kalyeguapo,"{'amount': '45038.921091', 'currency': 'USD'}","{'amount': '44979.911741', 'currency': 'USD'}",
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/786928e45d053ee04d061fdb2b3f51fd~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=c028404a&x-expires=1784088000&x-signature=MU8ggODq0XCfr2xRpW%2FL9cDx0%2BQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},17852.0,0.0,['601739'],LfIZEgAAAACOV4AEeERJl-yievH_HBsscZ8ZHmnps_JQgsU1t01VrQ,1609.0,{'formatted_range': '₱10K+'},vthykhanh339,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3412}}",vthykhanh339,,,
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c02c87630cef5aee873da1bd11add5db~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=4ec526f2&x-expires=1784088000&x-signature=vnWf2ak8qzW0EhuOkdyaOMLfqNE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},7678.0,0.0,['601739'],cpkUwgAAAACOV4AEeERJl-yievH_HBssT5zIbCZM6VeePjYY2FPgqA,2142.0,{'formatted_range': '₱10K+'},TambokTreasures,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3369}}",cellphone.shop596,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/94f3e619a00688bde7ae30b0745119a0~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e13105da&x-expires=1784088000&x-signature=Gq4E01FOzVTr5iqXVEu1YrapF1M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},4524.0,0.0,"['601739', '604206']",MJpuawAAAACOV4AEeERJl-yievH_HBss-BKfIzRzB0IznWorLCgEiQ,938.0,{'formatted_range': '₱10K+'},RizalRattan,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3052}}",gadgetdrop83,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a2fdd8b65db96e3171283085a298670f~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ab69348e&x-expires=1784088000&x-signature=n0%2FprmUTZs5UiNDjOfLVIQqPVoI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},9278.0,378.0,"['601739', '604206']",A411nwAAAACOV4AEeERJl-yievH_HBss_S4oMLwmJVXppiZPcp5jXQ,81006.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Amy David,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4728}}",amydavid22,"{'amount': '40578.691485', 'currency': 'USD'}","{'amount': '4716.721096', 'currency': 'USD'}","{'amount': '35562.330301', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f67ce18907ee083a5a25a53ae7fe7783~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=16888993&x-expires=1784088000&x-signature=O1m5gF5B1wcPK1IRIjCYydzwouY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},17230.0,0.0,['601739'],xeVgAAAAAACOV4AEeERJl-yievH_HBsswKG2Z6Z7eT5ND_bfT5nvwQ,2208.0,{'formatted_range': '₱10K+'},GameSexy PH,PH,"{'age_ranges': ['AGE_RANGE_55_AND_ABOVE', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2608}}",gamesexyph,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b96e7612316ed203073dfedd3ab54502~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dcdd56e0&x-expires=1784088000&x-signature=zd42Nmpq0XYhCzvxV3OENs%2FQZzA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,371.0,"['601739', '601352', '601450']",HLzZ_AAAAACOV4AEeERJl-yievH_HBssy3xbxY8iZgLcv2LW-DBiDw,29782.0,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Anne28,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3494}}",05garutay,"{'amount': '88525.422884', 'currency': 'USD'}","{'amount': '88508.090678', 'currency': 'USD'}",
{'url': 'https://p19-common-sign.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=1bb68513&x-expires=1784088000&x-signature=FCYUsUu%2FJFUhjvG6z4n6u6z9cKc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '600001']",0RFWIwAAAACOV4AEeERJl-yievH_HBsstWx_jsTo2lvOIsfYvT0mNQ,4.0,{'formatted_range': '₱10K+'},involveasiaph02,PH,"{'age_ranges': ['AGE_RANGE_55_AND_ABOVE', 'AGE_RANGE_35_44', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5000}}",involveasiaph02,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=50a5736a&x-expires=1784088000&x-signature=OFHGPnahxWixVm5YsGdpnXjEqxw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601450', '601739', '605196']",wvWCCAAAAACOV4AEeERJl-yievH_HBssoGCY5fVpWxx9iObHRT_FKA,8.0,{'formatted_range': '₱10K+'},involveasiaph01,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6250}}",involveasiaph01,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/824f7f2b172e66c5ec5c18a84b8a5df8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=61db4efa&x-expires=1784088000&x-signature=JdR9944gXpL%2FFRUZjOAOgE1YwGU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['603014', '601755', '604968']",6I9SpwAAAACOV4AEeERJl-yievH_HBssyb84-app_OeyKC9hrOCMpg,1776.0,{'formatted_range': '₱0-₱100'},Jane 𓍢ִ໋🌷͙֒,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 8406}}",shaigurrrl_,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/c25857b6f4582df4c0be71cf5443a24e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=74d16df6&x-expires=1784088000&x-signature=pJKZ1Mx7qeAQpGO9ZVV2h0MFMEs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,0.0,"['601152', '603014', '824328']",n2XuHQAAAACOV4AEeERJl-yievH_HBssbvVh0lr09iUtD3nTHJ1UEA,205.0,{'formatted_range': '₱0-₱100'},Shaigurrrrl,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7268}}",shaigurrrrl,,,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a9b67eaace71ab67fbb4fdbe22f5d6dc~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=cf48a291&x-expires=1784088000&x-signature=GjW4d%2FVg%2FAx286AxO4x3Og3pjv4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0.0,2530.0,"['601152', '824328', '602284']",mVVYkwAAAACOV4AEeERJl-yievH_HBssNZIN3uEvGF1__HiZZXLdyQ,48528.0,{'formatted_range': '₱10K+'},Thinkerbelleph ∞︎︎✨,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4757}}",thinkerbelleph2,,,
